ID,NAME,DATEADDED,LOCATION,MD5_HASH,SHA256_HASH,CUCKOO_ID,MALICIOUS,DOWNLOADED,CATEGORY
۴۳,057026ba4e1aa40f708688ad2fbb32ddb069cf3a1e277e92c5b14a275b7a5ae4.exe,2021-08-27 20:46:33,Ransomwares/EKANS/EKANS_057026ba4e1aa40f708688ad2fbb32ddb069cf3a1e277e92c5b14a275b7a5ae4.exe,57134981fb5f6db5db8d7f3051503dc1,057026ba4e1aa40f708688ad2fbb32ddb069cf3a1e277e92c5b14a275b7a5ae4,۱۱۶,۱,۱,EKANS
۴۹,6103e26f6f9d5fd895d9c06e1f5e141ce74d8ebda999cda6a58a4393de5ed094.exe,2021-08-27 20:46:34,Ransomwares/Babuk/Babuk_6103e26f6f9d5fd895d9c06e1f5e141ce74d8ebda999cda6a58a4393de5ed094.exe,cafe07d8c34108007372bd8df42d9ef9,6103e26f6f9d5fd895d9c06e1f5e141ce74d8ebda999cda6a58a4393de5ed094,۸۷,۱,۱,Babuk
۵۰,ab4eae618bb05b4fb4a8d3790a0d18a3e1566ab477519991cb161398803a8847.exe,2021-08-27 20:46:34,Ransomwares/Babuk/Babuk_ab4eae618bb05b4fb4a8d3790a0d18a3e1566ab477519991cb161398803a8847.exe,03f524377f461bfa70859fb5805b5a03,ab4eae618bb05b4fb4a8d3790a0d18a3e1566ab477519991cb161398803a8847,۹۸,۱,۱,Babuk
۵۱,bb31f235e86b0fda185e6580ef5327f80d6a6c754f78499e8647de5e229769cc.exe,2021-08-27 20:46:34,Ransomwares/Babuk/Babuk_bb31f235e86b0fda185e6580ef5327f80d6a6c754f78499e8647de5e229769cc.exe,b8e5bd86046b596d8cf43843f433bb5d,bb31f235e86b0fda185e6580ef5327f80d6a6c754f78499e8647de5e229769cc,۱۲۳,۱,۱,Babuk
۵۲,f1719415abe4dcba0daef0a1e5c8994d1d3c0c659d3e0a11b34f307370dd8683.exe,2021-08-27 20:46:34,Ransomwares/Babuk/Babuk_f1719415abe4dcba0daef0a1e5c8994d1d3c0c659d3e0a11b34f307370dd8683.exe,0bbb5eafade47a9d212a23fc886646b7,f1719415abe4dcba0daef0a1e5c8994d1d3c0c659d3e0a11b34f307370dd8683,۱۸۱,۱,۱,Babuk
۷۵,03a178251c26c86b518a785027f99295fb4f8c797a5aee9f1b2e6f75433890db.exe,2021-08-27 20:46:34,Ransomwares/GandCrab/GandCrab_03a178251c26c86b518a785027f99295fb4f8c797a5aee9f1b2e6f75433890db.exe,d59e87e94a44510416e2b45d2a4cf752,03a178251c26c86b518a785027f99295fb4f8c797a5aee9f1b2e6f75433890db,۱۳۹,۱,۱,GandCrab
۷۶,4bfe4c1587bf66b0c649aa94c5639405b17a1795c19c1505ff55d87fe9cc882b.exe,2021-08-27 20:46:34,Ransomwares/GandCrab/GandCrab_4bfe4c1587bf66b0c649aa94c5639405b17a1795c19c1505ff55d87fe9cc882b.exe,ea9cedcd186623fe754731a983af2fdd,4bfe4c1587bf66b0c649aa94c5639405b17a1795c19c1505ff55d87fe9cc882b,۱۹۶,۱,۱,GandCrab
۲۱۲,katyusha,2021-08-27 20:46:36,Ransomwares/Katyusha/Katyusha_katyusha,7f87db33980c0099739de40d1b725500,d00ee0e6eab686424f8d383e151d22005f19adbda5b380a75669629e32fe12a6,۱۷۰,۱,۱,Katyusha
۲۱۵,d7f19de8eb2461c635c0170448a58a1ec6e6de014b4410883f87d0b5d7868e65.exe,2021-08-27 20:46:36,Ransomwares/Maoloa/Maoloa_d7f19de8eb2461c635c0170448a58a1ec6e6de014b4410883f87d0b5d7868e65.exe,67438e8ddb537ef31fd86c5b046e986b,d7f19de8eb2461c635c0170448a58a1ec6e6de014b4410883f87d0b5d7868e65,۱۷۸,۱,۱,Maoloa
۲۱۶,a2d60af7bebac9b299db109f8162ed6335fb5dda08f57f00e9dc809d4f138428.exe,2021-08-27 20:46:36,Ransomwares/Encrpt3d/Encrpt3d_a2d60af7bebac9b299db109f8162ed6335fb5dda08f57f00e9dc809d4f138428.exe,b36e5c508efea796731d444c189b413c,a2d60af7bebac9b299db109f8162ed6335fb5dda08f57f00e9dc809d4f138428,۱۱۹,۱,۱,Encrpt3d
۲۲۱,4e2554b448424859b508433e6c4a043718343febc7894a849f446dd197b47d1e.exe,2021-08-27 20:46:37,Ransomwares/Maze/Maze_4e2554b448424859b508433e6c4a043718343febc7894a849f446dd197b47d1e.exe,90c0d9bae24b7101eb934b5e4ad2e4f4,4e2554b448424859b508433e6c4a043718343febc7894a849f446dd197b47d1e,۲۰۵,۱,۱,Maze
۲۴۹,3fe7335d5876e6f54eca61bb2140274f1d2f87d42f1a6168c3a1d87e17f2bd16.exe,2021-08-27 20:46:38,Ransomwares/HANTA/HANTA_3fe7335d5876e6f54eca61bb2140274f1d2f87d42f1a6168c3a1d87e17f2bd16.exe,45abf1c6243ca041b3cf9d17ada882fd,3fe7335d5876e6f54eca61bb2140274f1d2f87d42f1a6168c3a1d87e17f2bd16,۱۴۱,۱,۱,HANTA
۲۵۰,4d86207c8b1552b199903ffa2db244417369b657130db6be924b2ea2a42b28fb.exe,2021-08-27 20:46:38,Ransomwares/HANTA/HANTA_4d86207c8b1552b199903ffa2db244417369b657130db6be924b2ea2a42b28fb.exe,188a6172bcc72b12a6b2aace45f2812e,4d86207c8b1552b199903ffa2db244417369b657130db6be924b2ea2a42b28fb,۱۹۷,۱,۱,HANTA
۲۵۸,dee28396d1ec3e91bad9b0cb0b945a5512a70882bffbb1f47e153b27b41977df.exe,2021-08-27 20:46:38,Ransomwares/BB/BB_dee28396d1ec3e91bad9b0cb0b945a5512a70882bffbb1f47e153b27b41977df.exe,c86e8425a3c9f4c1c475898d9a54a6d9,dee28396d1ec3e91bad9b0cb0b945a5512a70882bffbb1f47e153b27b41977df,۸۶,۱,۱,BB
۲۸۱,75574b8553f0c59e2d26cafd3cf92fe38eb815d6f11a3473cdb39741bbda72fd.exe,2021-08-27 20:46:39,Ransomwares/HiddenTear/HiddenTear_75574b8553f0c59e2d26cafd3cf92fe38eb815d6f11a3473cdb39741bbda72fd.exe,8ad3b3c4396af8f9661168f4d3fda7a4,75574b8553f0c59e2d26cafd3cf92fe38eb815d6f11a3473cdb39741bbda72fd,۱۴۵,۱,۱,HiddenTear
۲۸۲,188a788960d15df85065cbc52f537434f3abd41aabd3299531fb58dfa98bbb1a.exe,2021-08-27 20:46:39,Ransomwares/HiddenTear/HiddenTear_188a788960d15df85065cbc52f537434f3abd41aabd3299531fb58dfa98bbb1a.exe,22e496083d46047375130e0a2dd4cd78,188a788960d15df85065cbc52f537434f3abd41aabd3299531fb58dfa98bbb1a,۱۹۹,۱,۱,HiddenTear
۲۸۶,af53e36a62f237597b47d34349e40c16a3682a492fe7c320c7e834f6247e078a.exe,2021-08-27 20:46:39,Ransomwares/CryptoDarkRubix/CryptoDarkRubix_af53e36a62f237597b47d34349e40c16a3682a492fe7c320c7e834f6247e078a.exe,76d274c823439cf02f18a0deccfe70c5,af53e36a62f237597b47d34349e40c16a3682a492fe7c320c7e834f6247e078a,۱۰۶,۱,۱,CryptoDarkRubix
۲۸۷,d31742a33f52f5d3326a828f73c666d605c07b2070f5a863fce7d97a4b1cfee2.exe,2021-08-27 20:46:39,Ransomwares/DeathHiddenTear/DeathHiddenTear_d31742a33f52f5d3326a828f73c666d605c07b2070f5a863fce7d97a4b1cfee2.exe,b550e47de0ed9a121a560c7bb24b67db,d31742a33f52f5d3326a828f73c666d605c07b2070f5a863fce7d97a4b1cfee2,۱۱۱,۱,۱,DeathHiddenTear
۲۸۸,jigsaw,2021-08-27 20:46:40,Ransomwares/Jigsaw/Jigsaw_jigsaw,2773e3dc59472296cb0024ba7715a64e,3ae96f73d805e1d3995253db4d910300d8442ea603737a1428b613061e7f61e7,۱۶۸,۱,۱,Jigsaw
